generation_temperature,input_length_constraint,output_length_constraint,generation_epoch,num_rows
0.7,False,False,40,62
0.9,False,False,40,132
1.0,False,False,40,162
0.7,True,False,40,10
1.0,True,False,40,32
0.9,True,False,40,26
0.6,True,False,40,52
0.8,True,False,40,44
0.8,False,False,40,104
0.6,False,False,40,86
0.9,True,False,80,56
0.9,False,False,80,284
1.0,False,False,80,336
0.8,True,False,80,70
0.6,True,False,80,104
1.0,True,False,80,52
0.7,False,False,80,184
0.7,True,False,80,42
0.6,False,False,80,188
0.8,False,False,80,212
1.0,True,False,120,82
0.6,True,False,120,148
0.7,True,False,120,64
0.8,False,False,120,334
0.9,False,False,120,452
0.7,False,False,120,314
1.0,False,False,120,516
0.6,False,False,120,286
0.8,True,False,120,86
0.9,True,False,120,100
0.6,False,False,160,406
0.8,False,False,160,474
1.0,True,False,160,96
0.9,False,False,160,618
0.9,True,False,160,128
0.7,False,False,160,424
0.7,True,False,160,90
0.8,True,False,160,106
1.0,False,False,160,694
0.6,True,False,160,192
0.6,True,False,400,430
0.8,False,False,400,1260
0.9,True,False,400,264
1.0,True,False,400,220
0.7,False,False,400,1062
0.8,True,False,400,268
0.9,False,False,400,1586
0.7,True,False,400,226
0.6,False,False,400,1118
1.0,False,False,400,1838
1.0,False,False,800,3632
0.8,False,False,800,2624
0.9,False,False,800,3182
0.8,True,False,800,516
0.7,False,False,800,2132
0.7,True,False,800,476
0.6,False,False,800,2320
0.9,True,False,800,492
0.6,True,False,800,748
1.0,True,False,800,452
